asker,responder,question,answer,,,
John Janedis,Gracia C. Martore,"Two questions for you. Just first, did your businesses see any impact from the government shutdown, meaning exiting 3Q or 4Q to date?","I can say that there's been direct impact, and then there's probably the more indirect impact. For instance, we have a little business called Gannett Government Media. Obviously, that had a pretty chilling effect on that business. We own a television station here in Washington D.C. As you can appreciate, it serves the Northern Virginia, D.C. and Maryland areas. And those, I believe, were the states most impacted directly by the slowdown. As for a more global impact across our company, I've read a lot of pundits who have indicated that this is going to have some meaningful impact on the economy over the next period of time. We'll just going to see how that plays out. I think the important thing is going to be whether we just simply kick the can down the road and, therefore, we start up with the uncertainty again that causes businesses and consumers to be a bit chilled by what they see going on here in Washington D.C., or whether this can be a much more collaborative outcome that this company -- country I believe so richly deserves. That was my political thought for this morning.",,,
John Janedis,Gracia C. Martore,"Separately, can you talk about the circulation revenue trends you're seeing at USCP? Did you see any change in retention rates as subscribers anniversary the original increases? Any differences depending on the market size? And given the increased content you're delivering, is another price increase coming in the near term?","Let me start. I have Bob Dickey here, and I think, Bob, you can give us a little bit of color on retention, which I think is a good story.",,,
John Janedis,Robert J. Dickey,"Separately, can you talk about the circulation revenue trends you're seeing at USCP? Did you see any change in retention rates as subscribers anniversary the original increases? Any differences depending on the market size? And given the increased content you're delivering, is another price increase coming in the near term?","Retention right now, John, has improved just slightly overall. We're pretty flat with a year ago after some increases early in the program. So we're very happy with that. Our subscribers continue to be incredibly loyal. As it relates to price increases, at this point in time, we have not announced any. We are doing some very selective price increases as part of the previous full access model in some markets where [indiscernible] deeper discounted subscribers up the ladder, and those are going as planned. That's where we are at this point",,,
John Janedis,Gracia C. Martore,"Separately, can you talk about the circulation revenue trends you're seeing at USCP? Did you see any change in retention rates as subscribers anniversary the original increases? Any differences depending on the market size? And given the increased content you're delivering, is another price increase coming in the near term?","Yes, I think, John, with respect to pricing, the very foundation of what we did with our all-access content subscription model and now with what we're doing with these 4 pilots is to be totally focused on enhancing our content for readers and users. And we believe that when we provide additional value as we have with our all-access content model as we are doing with relaunches of our mobile sites and apps and a variety of other things and, for instance, in these 4 pilot markets where we are providing literally 70 or 80 additional pages of both national and local content that consumers are finding valuable and we're hearing from them the value they see in it, that we believe that will potentially give us the leverage -- some pricing leverage. But it's still unbelievably early. We're only a couple of weeks into it. I think we can probably speak more concretely about it when we get to the investor conference in early December. But we feel optimistic about our focus on content and bringing additional value to consumers. We've already proven that by doing that once. Consumers were willing to give us pricing leverage, and we believe that we can repeat that as long as we continue to provide that added content and value.",,,
John Janedis,Gracia C. Martore,"Okay. Gracia, sorry, 1 -- 2 quick model questions. One, does the TV station segment, that pacing [ph] number, if you will, does that adjust for the Captivate deconsolidation from last year? And secondly, on the circulation side, is flattish year-over-year x the extra week how you're thinking about the quarter?","our first question is whether the television guidance we gave you is really -- includes Captivate, and it doesn't. That's a pure television-to-television comparison. So that 10% to 12% increase excluding political is a 19% decrease excluding the extra week from last year, is purely a television-to-television comparison. And I'm sorry, your -- the second part of that question, John?",,,
John Janedis,Gracia C. Martore,"Just on the circulation side. Given the flattening out of the growth, x the extra week from last year, does 4Q kind of look like 3Q?","Yes, I mean I think it will be probably within that range. We've got a couple of pieces going on here. Number one, we've got Newsquest, who will continue to benefit from some of the pricing that they've done as well at USA TODAY. They instituted some pricing actions on home delivery in July and on single copy at the beginning -- at the very end of September. So we'll have some benefit from those 2 pieces. But then we will have further cycled all of the ramp out of the all-access content subscription model. But I think we're looking at this more than just from a quarter-to-quarter basis. I think as we look into 2014 and we see how these pilots go that we've done in these 4 communities, I think that, that potentially gives us an opportunity that will be much more meaningful than what we're talking about right now.",,,
Douglas M. Arthur,Gracia C. Martore,"Yes, Gracia, a couple of questions on TV and one quick one on all-access. The extra week impact to the newspapers for Q4 is pretty well chronicled. Can you just remind us on TV? The extra week is, I believe, is not quite as significant as a revenue factor for last year. Can you kind of box what that is? Secondly, on TV, I believe you're coming into some pretty important or at least one important retrans negotiation in the fourth quarter. I know you're loathe to talk about that, but any guidance there as to timing and potential impact would be helpful. And then Victoria, you talked all year about the $100 million pretax cumulative benefit from all-access. Are you still on target there to the bottom line, or are you actually ahead?","Well, that's 3 questions, so I'll take the first 2, and then I'll pop the last one over to Victoria. With respect to the 53rd week on television, you're exactly right. The impact was probably in about the $10 million range on total revenues last year for the extra week. And then with respect to -- and for the total company, it was about I think around $60 million and about $0.03 of EPS to frame that extra, extra week when you go back and look at our press release from the fourth quarter of last year. With respect to retrans, we -- as Dave Lougee, who is here with me as well, and I have indicated, we do have one significant deal and one more modest deal coming due, but towards the very end of the quarter, so we don't anticipate anything of consequence in terms of the impact on the fourth quarter. Obviously, we'll have to see how those negotiations go, and then we will be able to give you, once they're completed, some better estimates for our retrans for 2014. But we should see retrans in an absolute basis being roughly comparable to what we posted in the third quarter. And as you recall on the fourth quarter of last year, we had some meaningful transactions that also boosted revenue in the fourth quarter. More likely these will boost revenue in the first quarter and beyond.",,,
Douglas M. Arthur,Victoria Dux Harker,And then the $100 million target?,"On your all-access question, and I won't speak for Bob, obviously, but I think at this point, given the fact that we had already generated about $20 million of the bottom line impact even prior to going into this year, we're on a good trajectory relative to this year's year-to-date, I think, we're at this point, very comfortable with the $100 million bottom line impact.",,,
Craig Huber,Gracia C. Martore,"I've got some housekeeping questions. I've got 2 to start off with, please. What's the update of your circulation digital-only subscriptions in the quarter? I believe it was 65,000 into the second quarter. And also Gracia, what was the daily and Sunday circulation volume percent change in the quarter for U.S. Community Publishing? And I have some follow-ups.","Sure. Let me start with the second question, which is with respect to daily volume at U.S. Community Publishing. In the third quarter, down about 7%. That's actually better than the second quarter, which was down around 8%. And then on the Sunday, down about 11%, which is again a bit better than the second quarter, which was down a little over 12%. With respect to the metrics around our all-access content subscription model, the one that I think -- in addition -- well, there are several metrics we pay a lot of attention to. Victoria just articulated one of the most important, which is the fact that we said we were going to add about $100 million to operating profitability, and we are absolutely on course to do that, if not slightly better than that. That's one of the most important metrics. I think the second metric is that we had said at the get go that we expected ultimately to get to about 60% activation of the digital subscriptions that we were providing as part of our all-access content subscription model. At this point, Bob, correct me if I'm wrong, but I think we're at about 53% comp -- against all of those units, but we have probably a dozen places where they're above 70% or 65% or 70%. So we feel very good about being well on track with the digital traction that we expected to achieve out of this initiative. We're at about 1,500,000 digital subscribers who have activated their -- all-access subscribers who have activated their digital part of their subscription. One of the smallest metrics is with respect to digital-only for 2 reasons. One is that we have spent a heck of a lot more time focused on digital-only plus Sunday. And we've seen about 10% or so of the digital-only subscribers quickly become digital-only plus Sunday. And frankly that is an incredibly valuable subscriber to us because, as you well know from following us as long as you have, Craig, that Sunday is such an important day for advertising and to have additional Sunday exposure is incredibly important to us. We have also -- that number is probably in excess of 75,000 or 80,000 at the moment, but frankly that's probably one of the least significant and important metrics that we have used to determine the success of what has been just an extremely successful initiative for the company.",,,
Craig Huber,Gracia C. Martore,"So Gracia, just to be clear, are you ballparking at 75,000 to 80,000 plus any digital-only subs that switched over to digital plus Sunday print? Is that what you're saying?","If you're just specifically looking at that one small metric, yes, that's exactly what I'm saying. But I think the more important metric is 1.5 million paying digital access subscribers as part of our all-access content model who have activated their subscriptions.",,,
